jid,model,tp,pp,cp,backend,nodes,seq_len,status,iters_recorded,iters_stable,mean_tflops,mean_tokens_per_gpu,mfu_pct
3395189,qwen3-14b,4,1,1,unfused,1,512,OK,15,11,41.96,515,8.49
3395190,qwen3-14b,4,1,1,flash,1,512,OK,15,11,49.77,611,10.08
3396091,qwen3-14b,4,1,1,triton,1,512,OK,15,11,49.18,603,9.96
3395192,qwen3-14b,4,1,1,fused,1,512,OK,15,11,49.77,611,10.08
3395191,qwen3-14b,4,1,1,flash+fa3,1,512,OK,15,11,48.24,591,9.76
3396139,qwen3-14b,4,1,1,tilelang,1,512,OK,15,11,47.25,580,9.56
3395193,qwen3-14b,4,1,1,unfused,1,1024,OK,15,11,84.99,1035,17.2
3395194,qwen3-14b,4,1,1,flash,1,1024,OK,15,11,96.91,1180,19.62
3396092,qwen3-14b,4,1,1,triton,1,1024,OK,15,11,99.45,1211,20.13
3395196,qwen3-14b,4,1,1,fused,1,1024,OK,15,11,100.75,1227,20.4
3395195,qwen3-14b,4,1,1,flash+fa3,1,1024,OK,15,11,99.37,1210,20.12
3396140,qwen3-14b,4,1,1,tilelang,1,1024,OK,15,11,93.2,1135,18.87
3395197,qwen3-14b,4,1,1,unfused,1,2048,OK,15,11,166.57,1998,33.72
3395198,qwen3-14b,4,1,1,flash,1,2048,OK,15,11,202.55,2430,41.0
3396093,qwen3-14b,4,1,1,triton,1,2048,OK,15,11,195.05,2340,39.48
3395200,qwen3-14b,4,1,1,fused,1,2048,OK,15,11,202.54,2429,41.0
3395199,qwen3-14b,4,1,1,flash+fa3,1,2048,OK,15,11,201.8,2421,40.85
3396141,qwen3-14b,4,1,1,tilelang,1,2048,OK,15,11,185.13,2221,37.48
3395201,qwen3-14b,4,1,1,unfused,1,4096,OK,9,5,196.9,2293,39.86
3395202,qwen3-14b,4,1,1,flash,1,4096,OK,15,11,313.65,3652,63.49
3396094,qwen3-14b,4,1,1,triton,1,4096,OK,15,11,294.88,3434,59.69
3395204,qwen3-14b,4,1,1,fused,1,4096,OK,15,11,338.59,3943,68.54
3395203,qwen3-14b,4,1,1,flash+fa3,1,4096,OK,15,11,338.6,3943,68.54
3396142,qwen3-14b,4,1,1,tilelang,1,4096,OK,15,11,310.44,3615,62.84
3395205,qwen3-14b,4,1,1,unfused,1,8192,OOM,0,0,0.0,0,0.0
3395206,qwen3-14b,4,1,1,flash,1,8192,OK,8,4,356.52,3922,72.17
3396095,qwen3-14b,4,1,1,triton,1,8192,OK,8,4,292.3,3216,59.17
3395208,qwen3-14b,4,1,1,fused,1,8192,OK,9,5,383.14,4215,77.56
3395207,qwen3-14b,4,1,1,flash+fa3,1,8192,OK,9,5,390.98,4301,79.15
3396143,qwen3-14b,4,1,1,tilelang,1,8192,OK,9,5,339.48,3734,68.72
3395209,qwen3-14b,4,1,1,unfused,1,16384,OOM,0,0,0.0,0,0.0
3395211,qwen3-14b,4,1,1,flash,1,16384,PARTIAL,3,0,350.03,3467,70.86
3396096,qwen3-14b,4,1,1,triton,1,16384,PARTIAL,3,0,264.57,2620,53.56
3395213,qwen3-14b,4,1,1,fused,1,16384,PARTIAL,4,0,399.48,3956,80.87
3395212,qwen3-14b,4,1,1,flash+fa3,1,16384,PARTIAL,4,0,414.05,4101,83.82
3396144,qwen3-14b,4,1,1,tilelang,1,16384,PARTIAL,4,0,333.98,3307,67.61
